otus	phylum
OTU_598	unknown
OTU_602	"p:""Proteobacteria"""
OTU_603	p:Firmicutes
OTU_604	p:Firmicutes
OTU_605	"p:""Tenericutes"""
OTU_606	p:Firmicutes
OTU_607	p:Firmicutes
OTU_608	p:Firmicutes
OTU_610	p:Firmicutes
OTU_609	p:Firmicutes
OTU_611	unknown
OTU_612	"p:""Bacteroidetes"""
OTU_613	unknown
OTU_614	p:Firmicutes
OTU_615	"p:""Tenericutes"""
OTU_616	"p:""Tenericutes"""
OTU_618	"p:""Bacteroidetes"""
OTU_617	"p:""Proteobacteria"""
OTU_619	unknown
OTU_620	unknown
OTU_621	"p:""Bacteroidetes"""
OTU_623	p:Firmicutes
OTU_622	p:Firmicutes
OTU_624	unknown
OTU_626	"p:""Actinobacteria"""
OTU_625	unknown
OTU_627	p:Firmicutes
OTU_628	p:Firmicutes
OTU_630	"p:""Bacteroidetes"""
OTU_629	p:Firmicutes
OTU_632	unknown
OTU_631	unknown
OTU_634	p:Firmicutes
OTU_633	p:Firmicutes
OTU_635	p:Firmicutes
OTU_636	p:Firmicutes
OTU_637	"p:""Bacteroidetes"""
OTU_638	unknown
OTU_639	p:Firmicutes
OTU_640	p:Firmicutes
OTU_641	p:Firmicutes
OTU_644	unknown
OTU_642	"p:""Bacteroidetes"""
OTU_645	"p:""Bacteroidetes"""
OTU_643	p:Firmicutes
OTU_646	"p:""Proteobacteria"""
OTU_649	"p:""Bacteroidetes"""
OTU_647	unknown
OTU_648	unknown
OTU_650	p:Firmicutes
OTU_651	p:Firmicutes
OTU_652	p:Firmicutes
OTU_653	unknown
OTU_654	unknown
OTU_656	"p:""Bacteroidetes"""
OTU_655	unknown
OTU_657	"p:""Proteobacteria"""
OTU_658	"p:""Actinobacteria"""
OTU_660	p:Firmicutes
OTU_659	p:Firmicutes
OTU_662	p:Firmicutes
OTU_663	"p:""Bacteroidetes"""
OTU_661	unknown
OTU_666	unknown
OTU_664	unknown
OTU_667	p:Firmicutes
OTU_665	p:Firmicutes
OTU_670	p:Firmicutes
OTU_668	p:Firmicutes
OTU_669	p:Firmicutes
OTU_671	unknown
OTU_672	p:Firmicutes
OTU_674	"p:""Bacteroidetes"""
OTU_675	p:Firmicutes
OTU_673	p:Firmicutes
OTU_676	unknown
OTU_678	p:Firmicutes
OTU_679	unknown
OTU_677	p:Firmicutes
OTU_680	unknown
OTU_682	"p:""Bacteroidetes"""
OTU_683	"p:""Bacteroidetes"""
OTU_681	p:Firmicutes
OTU_685	unknown
OTU_684	p:Firmicutes
OTU_686	"p:""Bacteroidetes"""
OTU_687	p:Firmicutes
OTU_688	unknown
OTU_689	p:Firmicutes
OTU_690	p:Firmicutes
OTU_692	"p:""Bacteroidetes"""
OTU_691	p:Firmicutes
OTU_693	unknown
OTU_696	"p:""Bacteroidetes"""
OTU_695	unknown
OTU_694	p:Firmicutes
OTU_697	unknown
OTU_698	unknown
OTU_699	unknown
OTU_700	unknown
OTU_701	"p:""Tenericutes"""
OTU_702	unknown
OTU_703	p:Firmicutes
OTU_705	unknown
OTU_707	unknown
OTU_704	unknown
OTU_706	unknown
OTU_708	p:Firmicutes
OTU_709	unknown
OTU_710	"p:""Bacteroidetes"""
OTU_711	unknown
OTU_713	p:Firmicutes
OTU_712	p:Firmicutes
OTU_714	p:Firmicutes
OTU_717	"p:""Bacteroidetes"""
OTU_715	p:Firmicutes
OTU_716	"p:""Proteobacteria"""
OTU_719	"p:""Bacteroidetes"""
OTU_720	unknown
OTU_721	"p:""Bacteroidetes"""
OTU_718	p:Firmicutes
OTU_722	p:Firmicutes
OTU_723	unknown
OTU_724	p:Firmicutes
OTU_725	"p:""Spirochaetes"""
OTU_727	unknown
OTU_726	p:Firmicutes
OTU_728	p:Firmicutes
OTU_731	"p:""Bacteroidetes"""
OTU_729	"p:""Proteobacteria"""
OTU_730	p:Firmicutes
OTU_732	"p:""Bacteroidetes"""
OTU_733	"p:""Bacteroidetes"""
OTU_734	unknown
OTU_736	unknown
OTU_735	unknown
OTU_737	unknown
OTU_739	unknown
OTU_741	unknown
OTU_740	p:Firmicutes
OTU_738	p:Firmicutes
OTU_743	unknown
OTU_744	unknown
OTU_742	p:Firmicutes
OTU_745	p:Firmicutes
OTU_747	p:Firmicutes
OTU_748	p:Firmicutes
OTU_746	unknown
OTU_749	"p:""Tenericutes"""
OTU_750	"p:""Bacteroidetes"""
OTU_751	p:Firmicutes
OTU_752	p:Firmicutes
OTU_753	"p:""Bacteroidetes"""
OTU_754	unknown
OTU_755	p:Firmicutes
OTU_756	p:Firmicutes
OTU_757	"p:""Proteobacteria"""
OTU_758	p:Firmicutes
OTU_759	p:Firmicutes
OTU_760	p:Firmicutes
OTU_762	"p:""Bacteroidetes"""
OTU_763	p:Firmicutes
OTU_761	p:Firmicutes
OTU_764	p:Firmicutes
OTU_765	unknown
OTU_766	"p:""Bacteroidetes"""
OTU_768	"p:""Proteobacteria"""
OTU_769	p:Firmicutes
OTU_767	p:Firmicutes
OTU_770	p:Firmicutes
OTU_771	unknown
OTU_772	p:Firmicutes
OTU_773	p:Firmicutes
OTU_774	p:Firmicutes
OTU_776	"p:""Bacteroidetes"""
OTU_775	unknown
OTU_777	"p:""Bacteroidetes"""
OTU_779	"p:""Bacteroidetes"""
OTU_778	p:Firmicutes
OTU_780	"p:""Proteobacteria"""
OTU_782	p:Firmicutes
OTU_783	unknown
OTU_781	unknown
OTU_784	unknown
OTU_785	unknown
OTU_786	p:Firmicutes
OTU_788	p:Firmicutes
OTU_787	p:Firmicutes
OTU_790	"p:""Bacteroidetes"""
OTU_789	p:Firmicutes
OTU_791	"p:""Spirochaetes"""
OTU_793	"p:""Bacteroidetes"""
OTU_794	p:Firmicutes
OTU_795	p:Firmicutes
OTU_792	unknown
OTU_797	p:Firmicutes
OTU_796	p:Firmicutes
OTU_798	"p:""Bacteroidetes"""
OTU_799	unknown
OTU_800	unknown
OTU_802	"p:""Bacteroidetes"""
OTU_801	"p:""Actinobacteria"""
OTU_804	"p:""Bacteroidetes"""
OTU_803	p:Firmicutes
OTU_806	unknown
OTU_805	p:Firmicutes
OTU_807	p:Firmicutes
OTU_810	"p:""Bacteroidetes"""
OTU_809	"p:""Bacteroidetes"""
OTU_808	p:Firmicutes
OTU_811	p:Firmicutes
OTU_813	unknown
OTU_812	unknown
OTU_814	p:Firmicutes
OTU_815	unknown
OTU_816	unknown
OTU_817	p:Firmicutes
OTU_819	p:Firmicutes
OTU_818	p:Firmicutes
OTU_820	unknown
OTU_821	"p:""Bacteroidetes"""
OTU_822	unknown
OTU_823	p:Firmicutes
OTU_824	unknown
OTU_825	p:Firmicutes
OTU_826	p:Firmicutes
OTU_828	p:Firmicutes
OTU_827	unknown
OTU_829	unknown
OTU_830	p:Firmicutes
OTU_832	"p:""Spirochaetes"""
OTU_831	"p:""Actinobacteria"""
OTU_833	p:Firmicutes
OTU_834	unknown
OTU_836	"p:""Spirochaetes"""
OTU_835	"p:""Bacteroidetes"""
OTU_837	p:Firmicutes
OTU_838	unknown
OTU_839	unknown
OTU_840	p:Firmicutes
OTU_842	"p:""Bacteroidetes"""
OTU_841	p:Firmicutes
OTU_843	unknown
OTU_845	p:Firmicutes
OTU_844	p:Firmicutes
OTU_846	p:Firmicutes
OTU_847	p:Firmicutes
OTU_848	p:Firmicutes
OTU_849	"p:""Bacteroidetes"""
OTU_850	unknown
OTU_852	p:Firmicutes
OTU_851	p:Firmicutes
OTU_854	"p:""Proteobacteria"""
OTU_853	unknown
OTU_856	unknown
OTU_855	unknown
OTU_857	"p:""Bacteroidetes"""
OTU_860	"p:""Bacteroidetes"""
OTU_858	"p:""Proteobacteria"""
OTU_859	p:Firmicutes
OTU_861	unknown
OTU_864	p:Firmicutes
OTU_862	unknown
OTU_863	p:Firmicutes
OTU_865	p:Firmicutes
OTU_867	"p:""Bacteroidetes"""
OTU_866	unknown
OTU_869	p:Firmicutes
OTU_868	p:Firmicutes
OTU_872	"p:""Bacteroidetes"""
OTU_870	p:Firmicutes
OTU_871	"p:""Proteobacteria"""
OTU_873	p:Firmicutes
OTU_874	p:Firmicutes
OTU_875	unknown
OTU_876	p:Firmicutes
OTU_878	"p:""Actinobacteria"""
OTU_879	"p:""Bacteroidetes"""
OTU_877	p:Firmicutes
OTU_880	unknown
OTU_884	"p:""Spirochaetes"""
OTU_882	"p:""Proteobacteria"""
OTU_883	p:Firmicutes
OTU_881	unknown
OTU_885	p:Firmicutes
OTU_886	unknown
OTU_887	unknown
OTU_888	unknown
OTU_890	unknown
OTU_889	unknown
OTU_891	unknown
OTU_892	"p:""Bacteroidetes"""
OTU_893	unknown
OTU_894	unknown
OTU_895	unknown
OTU_896	unknown
OTU_897	unknown
OTU_898	unknown
OTU_900	p:Firmicutes
OTU_899	"p:""Bacteroidetes"""
OTU_901	p:Firmicutes
OTU_902	unknown
OTU_905	"p:""Bacteroidetes"""
OTU_903	unknown
OTU_906	p:Firmicutes
OTU_904	Other
OTU_908	Other
OTU_907	p:Firmicutes
OTU_909	p:Firmicutes
OTU_911	"p:""Bacteroidetes"""
OTU_910	"p:""Spirochaetes"""
OTU_912	p:Firmicutes
OTU_914	"p:""Bacteroidetes"""
OTU_913	p:Firmicutes
OTU_915	"p:""Bacteroidetes"""
OTU_916	"p:""Spirochaetes"""
OTU_917	"p:""Bacteroidetes"""
OTU_918	p:Firmicutes
OTU_920	unknown
OTU_922	"p:""Bacteroidetes"""
OTU_921	"p:""Proteobacteria"""
OTU_919	p:Firmicutes
OTU_923	"p:""Bacteroidetes"""
OTU_924	p:Firmicutes
OTU_925	unknown
OTU_926	p:Firmicutes
OTU_927	unknown
OTU_929	unknown
OTU_928	p:Firmicutes
